order_id,Date_and_time_of_unloading,Product_code,Amount,Sale_amount,Profit,Discount_percentage
89,1/2/2020 1:00,1205,0.75,392,247.83,6.67
90,1/2/2020 1:00,1213,0.25,169.84,91.09,5.64
91,1/2/2020 1:00,1326,0.25,140,53.75,22.22
92,1/2/2020 1:00,1362,0.55,600,220.5,9.09
93,1/2/2020 1:00,1434,3.75,1491.16,786.16,10.17
94,1/2/2020 1:00,1450,0.5,414.21,189.21,5.86
95,1/2/2020 1:00,1561,0.5,250,133.35,10.71
96,1/2/2020 1:00,1594,3,1739.28,929.28,3.37
97,1/2/2020 1:00,1726,2,628.16,242.16,10.26
98,1/2/2020 1:00,1733,1.75,950,613.12,3.06
99,1/2/2020 1:00,1745,1,180,105.07,
100,1/2/2020 1:00,1757,1,265.47,66.38,30.14
101,1/2/2020 1:00,1772,0.5,329.63,99.01,25.08
102,1/2/2020 1:00,1775,1.5,1125.12,326.82,21.87
103,1/2/2020 1:00,1779,1.25,879.7,303.14,20.03
104,1/2/2020 1:00,1781,0.75,590,244.07,10.61
105,1/2/2020 1:00,1782,0.5,400,197.78,
106,1/2/2020 1:00,1784,1.25,855.57,279.01,22.22
107,1/2/2020 1:00,1786,4,3109.19,980.39,19.03
108,1/2/2020 1:00,1797,2,700,156,25.53
109,1/2/2020 1:00,1798,1,690,248,10.39
110,1/2/2020 1:00,1807,4,971.05,451.05,13.3
111,1/3/2020 1:00,99,1,317.95,52.95,20.51
112,1/3/2020 1:00,129,8,2518.76,1086.76,10.04
113,1/3/2020 1:00,140,1,224.21,99.21,10.32
114,1/3/2020 1:00,141,1,333,118,10
115,1/3/2020 1:00,144,1,252,127,10
116,1/3/2020 1:00,159,1,405,161,10
117,1/3/2020 1:00,213,1,520,214,20
118,1/3/2020 1:00,257,1,330,177,
119,1/3/2020 1:00,270,3,957.56,264.56,13.73
120,1/3/2020 1:00,285,3,920,209.2,17.12
121,1/3/2020 1:00,296,5,882,412.95,2
122,1/3/2020 1:00,298,7,1260,632.24,
123,1/3/2020 1:00,299,3,520,250.96,3.7
124,1/3/2020 1:00,364,4,1188.44,648.44,15.11
125,1/3/2020 1:00,380,1,300,150,
126,1/3/2020 1:00,472,1,240,94.86,20
127,1/3/2020 1:00,474,1,280,93.56,20
128,1/3/2020 1:00,476,2,540,235.56,10
129,1/3/2020 1:00,479,1,270,120.14,10
130,1/3/2020 1:00,481,6,1470,641.64,18.33
131,1/3/2020 1:00,490,6.75,4934.4,2736.06,3.81
132,1/3/2020 1:00,495,8.25,5342.22,1712.22,10.06
133,1/3/2020 1:00,519,2,379.17,379.17,5.21
134,1/3/2020 1:00,564,4,1865,968.2,2.86
135,1/3/2020 1:00,565,1,198,77.05,10
136,1/3/2020 1:00,566,3,660,321.93,
137,1/3/2020 1:00,591,2,284.37,179.37,5.21
138,1/3/2020 1:00,646,6,1508.5,653.5,10.21
139,1/3/2020 1:00,653,1,300,152,
140,1/3/2020 1:00,661,1,295,108,20.27
141,1/3/2020 1:00,663,1,295,108,20.27
142,1/3/2020 1:00,688,1,243,120.28,10
143,1/3/2020 1:00,706,6,960,439.62,
144,1/3/2020 1:00,717,5,1225,1225,2
145,1/3/2020 1:00,817,1,187.17,87.17,10.87
146,1/3/2020 1:00,836,1,250,135,
147,1/3/2020 1:00,843,1,198,73,10
148,1/3/2020 1:00,899,2,594.3,594.3,15.1
149,1/3/2020 1:00,965,1,225,110,10
150,1/3/2020 1:00,1019,2.75,1900,1033.75,4.04
151,1/3/2020 1:00,1030,1,159.89,61.89,20.06
152,1/3/2020 1:00,1032,4,658.15,218.15,17.73
153,1/3/2020 1:00,1071,1,420,184,
154,1/3/2020 1:00,1145,3.75,1588.08,650.58,18.56
155,1/3/2020 1:00,1192,1,585,175,10
156,1/3/2020 1:00,1205,5.25,2616.53,1607.33,11
157,1/3/2020 1:00,1213,4,2535,1275,11.98
158,1/3/2020 1:00,1238,3,672.83,327.83,10.29
159,1/3/2020 1:00,1250,1,270,152,
160,1/3/2020 1:00,1326,2.25,1409.34,633.09,13
161,1/3/2020 1:00,1392,1,405,150,10
162,1/3/2020 1:00,1394,1,340.79,127.79,10.32
163,1/3/2020 1:00,1434,3.75,1459.12,754.12,13.15
164,1/3/2020 1:00,1450,0.25,195,82.5,11.36
165,1/3/2020 1:00,1468,6,1200,228,9.09
166,1/3/2020 1:00,1470,1,239.61,77.61,20.13
167,1/3/2020 1:00,1494,1,260,125,
168,1/3/2020 1:00,1498,1,189,89,10
169,1/3/2020 1:00,1509,1,222.5,95.83,20.54
170,1/3/2020 1:00,1561,0.25,110,51.67,21.43
171,1/3/2020 1:00,1562,1,295,95,15.71
172,1/3/2020 1:00,1565,1,450,191,10
173,1/3/2020 1:00,1581,1,560,153.39,20
174,1/3/2020 1:00,1588,1,260,95,21.21
175,1/3/2020 1:00,1590,3,965,377,10.65
176,1/3/2020 1:00,1594,1.25,705,367.5,6
177,1/3/2020 1:00,1620,1,280,140,
178,1/3/2020 1:00,1640,1,300,175,
179,1/3/2020 1:00,1661,1,334.86,114.86,20.27
180,1/3/2020 1:00,1701,1,390,165,
181,1/3/2020 1:00,1718,1,255.14,95.14,20.27
182,1/3/2020 1:00,1733,2,960.73,575.74,14.22
183,1/3/2020 1:00,1746,9,1502.83,658.54,7.23
184,1/3/2020 1:00,1747,3,750,295.11,10.71
185,1/3/2020 1:00,1757,3,908.87,311.6,20.27
186,1/3/2020 1:00,1772,1,835,373.75,5.11
187,1/3/2020 1:00,1775,0.75,670,270.85,6.94
188,1/3/2020 1:00,1776,4,1116.73,500.73,15.4
189,1/3/2020 1:00,1779,2.5,1800.29,647.16,18.17
190,1/3/2020 1:00,1781,1.25,1050,473.43,4.55
191,1/3/2020 1:00,1782,0.75,600,296.66,
192,1/3/2020 1:00,1783,2,592.94,238.94,15.29
193,1/3/2020 1:00,1784,0.75,635,289.06,3.79
194,1/3/2020 1:00,1786,1,911.53,379.33,5.05
195,1/3/2020 1:00,1789,1,810,348.75,7.95
196,1/3/2020 1:00,1797,2,703.55,159.55,25.15
197,1/3/2020 1:00,1803,1,250,115,10.71
198,1/3/2020 1:00,1805,1,250,115,10.71
199,1/3/2020 1:00,1806,2,446.74,176.74,20.23
200,1/3/2020 1:00,1807,4,886.9,366.9,20.81
201,1/4/2020 16:00,140,3,697.67,322.67,6.98
202,1/4/2020 16:00,141,1,370,155,
203,1/4/2020 16:00,142,5,1370,660,2.14
204,1/4/2020 16:00,144,5,1157.56,532.56,12.97
205,1/4/2020 16:00,216,3,640,316,7.25
206,1/4/2020 16:00,238,4,1053.72,353.72,20.17
207,1/4/2020 16:00,257,4,1250,638,5.3
208,1/4/2020 16:00,271,1,398.44,127.44,20.31
209,1/4/2020 16:00,282,1,470,299,
210,1/4/2020 16:00,298,3,539.6,270.56,0.07
211,1/4/2020 16:00,356,3,840,610.5,6.67
212,1/4/2020 16:00,364,4,1137.47,597.47,18.75
213,1/4/2020 16:00,380,5,1348.47,598.47,10.1
214,1/4/2020 16:00,381,2,570,364,5
215,1/4/2020 16:00,386,2,624.84,214.84,15.56
216,1/4/2020 16:00,464,5,1280,630,8.57
217,1/4/2020 16:00,472,1,300,154.86,
218,1/4/2020 16:00,474,2,627.7,254.82,10.33
219,1/4/2020 16:00,476,3,810,353.34,10
220,1/4/2020 16:00,479,2,600,300.28,
221,1/4/2020 16:00,481,17,4839.32,2492.3,5.11
222,1/4/2020 16:00,490,3.75,2712.52,1491.22,4.82
223,1/4/2020 16:00,495,8,5184.39,1664.39,9.99
224,1/4/2020 16:00,530,1,205,97,10.87
225,1/4/2020 16:00,564,7.25,3265.15,1639.7,6.17
226,1/4/2020 16:00,566,4,788,337.24,10.45
227,1/4/2020 16:00,581,1,550,266.5,
228,1/4/2020 16:00,591,4,419.97,209.97,30.01
229,1/4/2020 16:00,616,1,326.72,82.72,20.31
230,1/4/2020 16:00,643,1,225,78,10
231,1/4/2020 16:00,645,1,230,90,11.54
232,1/4/2020 16:00,646,3,750,315,10.71
233,1/4/2020 16:00,653,6,1800,912,
234,1/4/2020 16:00,687,2,400,230.08,
235,1/4/2020 16:00,688,1,270,147.28,
236,1/4/2020 16:00,706,5,766.32,332.67,4.21
237,1/4/2020 16:00,717,2,448.53,448.53,10.29
238,1/4/2020 16:00,783,1,250,125,
239,1/4/2020 16:00,816,2,560,226,20
240,1/4/2020 16:00,840,1,250,58,
241,1/4/2020 16:00,888,1,1100,-50,
242,1/4/2020 16:00,899,1,315,315,10
243,1/4/2020 16:00,965,3,629.68,284.68,10.05
244,1/4/2020 16:00,1019,5.5,3828.24,2095.74,3.33
245,1/4/2020 16:00,1030,4,720,328,10
246,1/4/2020 16:00,1032,7,1138.29,368.29,18.69
247,1/4/2020 16:00,1057,4,1053.72,429.72,20.17
248,1/4/2020 16:00,1136,5,1184.5,497,5.24
249,1/4/2020 16:00,1145,7.75,3695.72,1758.22,8.29
250,1/4/2020 16:00,1205,4.5,2459.57,1594.53,2.4
251,1/4/2020 16:00,1213,2,1401.25,771.25,2.69
252,1/4/2020 16:00,1217,3,521.76,279.27,3.38
253,1/4/2020 16:00,1238,1,250,135,11.03
254,1/4/2020 16:00,1326,1.25,864,432.75,4
255,1/4/2020 16:00,1390,1,310,31,35.42
256,1/4/2020 16:00,1394,1,303.6,90.6,20.11
257,1/4/2020 16:00,1434,7.5,3047.39,1637.39,6.52
258,1/4/2020 16:00,1460,1,350,165,
259,1/4/2020 16:00,1471,3,830,344,13.54
260,1/4/2020 16:00,1494,1,232.3,97.3,10.65
261,1/4/2020 16:00,1498,1,185,85,11.9
262,1/4/2020 16:00,1501,1,700,385,
263,1/4/2020 16:00,1509,2,500.38,247.04,10.65
264,1/4/2020 16:00,1511,1,300,150,
265,1/4/2020 16:00,1517,1,600,305,
266,1/4/2020 16:00,1561,3.75,1995.63,1120.76,4.97
267,1/4/2020 16:00,1562,1,315,115,10
268,1/4/2020 16:00,1594,1.75,1018.03,545.53,3.04
269,1/4/2020 16:00,1670,1,335.56,123.56,20.1
270,1/4/2020 16:00,1698,1,214.62,99.62,10.58
271,1/4/2020 16:00,1726,3,1050,471,
272,1/4/2020 16:00,1733,2.25,1118.15,685.02,11.26
273,1/4/2020 16:00,1748,1,143.16,77.08,10.53
274,1/4/2020 16:00,1772,0.75,590,244.06,10.61
275,1/4/2020 16:00,1773,3,539.89,-99.11,55.01
276,1/4/2020 16:00,1775,2,1699.56,635.16,11.48
277,1/4/2020 16:00,1776,6,1367.3,443.3,30.94
278,1/4/2020 16:00,1777,3,2198.58,985.23,8.39
279,1/4/2020 16:00,1778,6,1452.41,390.41,30.84
280,1/4/2020 16:00,1779,7.5,5713.85,2254.48,13.43
281,1/4/2020 16:00,1780,3,472.41,-58.59,55.01
282,1/4/2020 16:00,1781,0.75,660,314.06,
283,1/4/2020 16:00,1782,0.75,600,296.66,
284,1/4/2020 16:00,1783,4,822.41,114.41,41.26
285,1/4/2020 16:00,1784,2,1715,792.5,2.56
286,1/4/2020 16:00,1785,1,1237.25,-414.75,55.01
287,1/4/2020 16:00,1786,1.5,1340.59,542.29,6.9
288,1/4/2020 16:00,1787,3,445.41,-16.59,55.01
289,1/4/2020 16:00,1788,3,472.41,-58.59,55.01
290,1/4/2020 16:00,1789,1.25,1055,478.43,4.09
291,1/4/2020 16:00,1793,1,386.13,143.13,10.2
292,1/4/2020 16:00,1796,1,359.52,106.52,20.11
293,1/4/2020 16:00,1797,3,1172.39,356.39,16.85
294,1/4/2020 16:00,1804,5,1400,725,
295,1/4/2020 16:00,1805,1,223.55,88.55,20.16
296,1/4/2020 16:00,1807,6,1379.4,599.4,17.89
297,1/5/2020 16:00,131,1,270,124,10
298,1/5/2020 16:00,132,1,315,136,10
299,1/5/2020 16:00,138,1,315,147,10
300,1/5/2020 16:00,141,1,333,118,10
301,1/5/2020 16:00,142,1,280,138,
302,1/5/2020 16:00,144,1,280,155,
303,1/5/2020 16:00,177,1,1000,432,
304,1/5/2020 16:00,209,1,293.62,58.62,30.09
305,1/5/2020 16:00,282,1,422.53,251.53,10.1
306,1/5/2020 16:00,296,5,860,390.95,4.44
307,1/5/2020 16:00,298,1,180,90.32,
308,1/5/2020 16:00,310,7,4344.49,1999.49,13.8
309,1/5/2020 16:00,356,3,839.41,609.91,6.73
310,1/5/2020 16:00,364,1,314.04,179.04,10.27
311,1/5/2020 16:00,380,2,600,300,
312,1/5/2020 16:00,381,1,285,182,5
313,1/5/2020 16:00,464,1,223.21,93.21,20.28
314,1/5/2020 16:00,474,1,350,163.56,
315,1/5/2020 16:00,483,1,488.03,152.91,30.28
316,1/5/2020 16:00,490,4.75,3455.42,1908.44,4.28
317,1/5/2020 16:00,519,4,770,770,3.75
318,1/5/2020 16:00,564,2.25,1011.82,507.37,6.31
319,1/5/2020 16:00,566,2,394.88,169.5,10.25
320,1/5/2020 16:00,581,1,384.51,101.01,30.09
321,1/5/2020 16:00,591,6,870,555,3.33
322,1/5/2020 16:00,601,1,250,60,
323,1/5/2020 16:00,615,1,300,55,30.23
324,1/5/2020 16:00,646,1,280,135,
325,1/5/2020 16:00,653,2,480,184,20
326,1/5/2020 16:00,688,4,916.65,425.77,15.13
327,1/5/2020 16:00,706,1,142.86,56.13,10.71
328,1/5/2020 16:00,843,1,220,95,
329,1/5/2020 16:00,888,1,1100,-50,
330,1/5/2020 16:00,899,3,1015,1015,3.33
331,1/5/2020 16:00,903,1,250,115,10.71
332,1/5/2020 16:00,1032,1,200,90,
333,1/5/2020 16:00,1071,1,420,184,
334,1/5/2020 16:00,1085,5.25,2246.57,1242.51,6.39
335,1/5/2020 16:00,1090,1,220,100,21.43
336,1/5/2020 16:00,1136,1,250,112.5,
337,1/5/2020 16:00,1145,1.75,816.75,379.25,10.25
338,1/5/2020 16:00,1152,1,363.53,67.53,30.09
339,1/5/2020 16:00,1205,11,5877.38,3762.85,4.59
340,1/5/2020 16:00,1213,2.25,1563.39,854.64,3.49
341,1/5/2020 16:00,1238,3,700,355,6.67
342,1/5/2020 16:00,1295,1,518.92,126.92,20.17
343,1/5/2020 16:00,1318,8,1478.4,698.4,7.6
344,1/5/2020 16:00,1326,2.75,1860,911.25,6.06
345,1/5/2020 16:00,1397,1,675,260,10
346,1/5/2020 16:00,1474,2.25,1795.83,787.08,9.3
347,1/5/2020 16:00,1501,1,665,350,5
348,1/5/2020 16:00,1509,1,195.75,69.08,30.09
349,1/5/2020 16:00,1510,1,280,150,
350,1/5/2020 16:00,1512,1,280,153.33,
351,1/5/2020 16:00,1549,2,1380,580,13.75
352,1/5/2020 16:00,1561,3.75,2010,1135.12,4.29
353,1/5/2020 16:00,1569,1,400,194.3,
354,1/5/2020 16:00,1582,1,960,175.7,20
355,1/5/2020 16:00,1590,2,664,272,7.78
356,1/5/2020 16:00,1607,1,328.58,63.58,30.09
357,1/5/2020 16:00,1620,1,251.67,111.67,10.12
358,1/5/2020 16:00,1633,1.25,1289.42,620.67,14.04
359,1/5/2020 16:00,1637,1,314.6,64.6,30.09
360,1/5/2020 16:00,1691,1,279.43,102.43,20.16
361,1/5/2020 16:00,1704,1,750,315,
362,1/5/2020 16:00,1733,1.5,755,466.25,10.12
363,1/5/2020 16:00,1739,0.5,479.22,179.22,20.13
364,1/5/2020 16:00,1745,1,161.53,86.6,10.26
365,1/5/2020 16:00,1747,1,280,128.37,
366,1/5/2020 16:00,1748,1,143.59,77.51,10.26
367,1/5/2020 16:00,1760,1,500,195.58,
368,1/5/2020 16:00,1769,8.75,4976.15,2578.65,5.22
369,1/5/2020 16:00,1772,1,767.16,305.91,12.82
370,1/5/2020 16:00,1775,0.75,645.81,246.66,10.3
371,1/5/2020 16:00,1777,1.25,980,474.43,2
372,1/5/2020 16:00,1779,0.25,220,104.69,
373,1/5/2020 16:00,1781,1.75,1406.96,599.78,8.64
374,1/5/2020 16:00,1782,1.25,1000,494.44,
375,1/5/2020 16:00,1784,0.25,220,104.69,
376,1/5/2020 16:00,1786,1.25,1029.13,363.88,14.24
377,1/5/2020 16:00,1790,2,1135,442,15.3
378,1/5/2020 16:00,1791,2,1360,460,20
379,1/5/2020 16:00,1797,1,328.43,56.43,30.12
380,1/5/2020 16:00,1806,4,945,405,15.63
381,1/5/2020 16:00,1807,2,503.33,243.33,10.12
382,1/5/2020 16:00,1808,3,695,284,17.26
383,1/6/2020 16:00,129,2,630,272,10
384,1/6/2020 16:00,133,1,300,112,21.05
385,1/6/2020 16:00,140,2,500,250,
386,1/6/2020 16:00,144,1,210,85,
387,1/6/2020 16:00,159,1,450,206,
388,1/6/2020 16:00,209,2,671.49,201.49,20.06
389,1/6/2020 16:00,211,1,650,303.5,
390,1/6/2020 16:00,212,1,650,303.5,
391,1/6/2020 16:00,217,1,700,290.5,
392,1/6/2020 16:00,256,1,330,158,
393,1/6/2020 16:00,258,1,800,334,
394,1/6/2020 16:00,276,1,330,160,
395,1/6/2020 16:00,282,1,470,299,
396,1/6/2020 16:00,296,1,160,66.19,11.11
397,1/6/2020 16:00,310,4.5,3140,1632.5,3.09
398,1/6/2020 16:00,364,1,350,215,
399,1/6/2020 16:00,380,3,837.21,387.21,6.98
400,1/6/2020 16:00,474,1,350,163.56,
401,1/6/2020 16:00,479,1,300,150.14,
402,1/6/2020 16:00,490,11.5,8400.81,4655.49,3.88
403,1/6/2020 16:00,519,1,200,200,
404,1/6/2020 16:00,564,4.5,2031.43,1022.53,5.95
405,1/6/2020 16:00,566,11,2330,1090.41,3.72
406,1/6/2020 16:00,591,3,450,292.5,
407,1/6/2020 16:00,615,1,430,185,
408,1/6/2020 16:00,616,1,365,121,10.98
409,1/6/2020 16:00,643,3,750,309,
410,1/6/2020 16:00,646,7,1930,915,1.53
411,1/6/2020 16:00,653,3,809.3,365.3,10.08
412,1/6/2020 16:00,706,2,280,106.54,12.5
413,1/6/2020 16:00,799,1,360,125,10
414,1/6/2020 16:00,843,3,610,235,7.58
415,1/6/2020 16:00,888,1,900,-250,
416,1/6/2020 16:00,899,3,1011.07,1011.07,3.71
417,1/6/2020 16:00,914,1,600,225,
418,1/6/2020 16:00,925,1,770,426.3,
419,1/6/2020 16:00,965,1,225,110,10
420,1/6/2020 16:00,1019,1.5,1042,569.5,3.52
421,1/6/2020 16:00,1032,4,699.52,259.52,12.56
422,1/6/2020 16:00,1085,5.5,2277.64,1225.76,7.41
423,1/6/2020 16:00,1126,1,450,181.2,
424,1/6/2020 16:00,1131,2,719.51,267.51,10.06
425,1/6/2020 16:00,1145,2.25,974.64,412.14,16.7
426,1/6/2020 16:00,1205,8,3989.06,2451.22,10.96
427,1/6/2020 16:00,1213,6,4085.57,2195.57,5.43
428,1/6/2020 16:00,1238,3,700,355,6.67
429,1/6/2020 16:00,1317,2,388.37,193.37,2.91
430,1/6/2020 16:00,1318,1,180,82.5,10
431,1/6/2020 16:00,1326,1.75,1130.36,526.61,10.29
432,1/6/2020 16:00,1392,4,1573.66,553.66,12.57
433,1/6/2020 16:00,1405,1,216.63,101.63,5.81
434,1/6/2020 16:00,1415,1,350,164,
435,1/6/2020 16:00,1474,1.25,1030,469.59,6.36
436,1/6/2020 16:00,1486,1,630,230,10
437,1/6/2020 16:00,1510,1,280,150,
438,1/6/2020 16:00,1512,1,250,123.33,10.71
439,1/6/2020 16:00,1517,1,600,305,
440,1/6/2020 16:00,1549,1.25,1000,500,
441,1/6/2020 16:00,1561,3,1582.35,882.45,5.81
442,1/6/2020 16:00,1568,1,264,99,20
443,1/6/2020 16:00,1590,1,320,124,11.11
444,1/6/2020 16:00,1633,2,2310,1240,3.75
445,1/6/2020 16:00,1634,1,330,122,10.81
446,1/6/2020 16:00,1637,1,450,200,
447,1/6/2020 16:00,1649,4,1725.53,992.22,10.13
448,1/6/2020 16:00,1651,1,380,184,
449,1/6/2020 16:00,1658,1,350,196,
450,1/6/2020 16:00,1661,1,375,155,10.71
451,1/6/2020 16:00,1672,3,1650,820.5,
452,1/6/2020 16:00,1675,1,600,294,
453,1/6/2020 16:00,1701,2,740.7,290.7,5.04
454,1/6/2020 16:00,1733,3.75,2011.12,1289.24,4.23
455,1/6/2020 16:00,1739,1,1200,600,
456,1/6/2020 16:00,1759,1,330,144.99,
457,1/6/2020 16:00,1769,8.75,5142.81,2745.31,2.04
458,1/6/2020 16:00,1770,1,300,126,
459,1/6/2020 16:00,1772,1,765,303.76,13.07
460,1/6/2020 16:00,1775,0.75,619.9,220.75,13.9
461,1/6/2020 16:00,1777,5,3819.41,1797.16,4.51
462,1/6/2020 16:00,1779,2,1491.39,568.89,15.26
463,1/6/2020 16:00,1781,1,743.74,282.5,15.48
464,1/6/2020 16:00,1782,0.5,320,117.78,20
465,1/6/2020 16:00,1783,1,350,173,
466,1/6/2020 16:00,1784,1,880,418.74,
467,1/6/2020 16:00,1786,2.25,1890.78,693.33,12.46
468,1/6/2020 16:00,1789,1.5,1320,628.12,
469,1/6/2020 16:00,1790,1,670,323.5,
470,1/6/2020 16:00,1797,1,470,198,
471,1/7/2020 16:00,129,4,1365,649,2.5
472,1/7/2020 16:00,131,5,1438.89,708.89,4.07
473,1/7/2020 16:00,135,1,311.67,147.67,5.55
474,1/7/2020 16:00,137,2,818.18,356.18,2.6
475,1/7/2020 16:00,138,1,331.82,163.82,5.19
476,1/7/2020 16:00,139,1,283.33,151.33,5.56
477,1/7/2020 16:00,142,3,840,414,
478,1/7/2020 16:00,144,2,560,310,
479,1/7/2020 16:00,177,1,900,332,10
480,1/7/2020 16:00,216,1,230,122,
481,1/7/2020 16:00,276,1,330,160,
482,1/7/2020 16:00,282,1,239.72,68.72,20.09
483,1/7/2020 16:00,310,6.25,4392.5,2298.75,2.39
484,1/7/2020 16:00,356,1,300,223.5,
485,1/7/2020 16:00,358,1,300,207.04,
486,1/7/2020 16:00,364,1,350,215,
487,1/7/2020 16:00,373,2,719.16,207.16,20.09
488,1/7/2020 16:00,464,1,249.27,119.27,10.98
489,1/7/2020 16:00,474,1,313.46,127.02,10.44
490,1/7/2020 16:00,479,2,570,270.28,5
491,1/7/2020 16:00,490,11.25,7322.36,3658.46,14.36
492,1/7/2020 16:00,519,1,200,200,
493,1/7/2020 16:00,564,9.75,4580.5,2394.55,2.13
494,1/7/2020 16:00,591,7,1034.38,666.88,1.49
495,1/7/2020 16:00,643,2,500,206,
496,1/7/2020 16:00,646,1,280,135,
497,1/7/2020 16:00,687,1,230,145.04,
498,1/7/2020 16:00,706,13,1900.52,773.03,8.63
499,1/7/2020 16:00,761,2,445,195,5.32
500,1/7/2020 16:00,898,2,625.92,625.92,10.58
501,1/7/2020 16:00,899,3,874.65,874.65,16.7
502,1/7/2020 16:00,1019,1.75,1043.95,492.7,17.15
503,1/7/2020 16:00,1032,4,729.99,289.99,8.75
504,1/7/2020 16:00,1085,4,1574.55,809.56,15.35
505,1/7/2020 16:00,1090,2,560,320,
